bucket,length
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,0
10,0
11,0
12,1
13,0
14,1
15,0
16,0
17,0
18,2
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,2
27,0
28,2
29,0
30,2
31,0
32,0
33,0
34,3
35,0
36,1
37,0
38,2
39,0
40,0
41,0
42,0
43,0
44,1
45,0
46,0
47,0
48,0
49,0
50,1
51,0
52,0
53,0
54,2
55,0
56,1
57,0
58,2
59,0
60,1
61,0
62,2
63,0
64,0
65,0
66,1
67,0
68,0
69,0
70,1
71,0
72,1
73,0
74,3
75,0
76,1
77,0
78,0
79,0
80,1
81,0
82,2
83,0
84,0
85,0
86,1
87,0
88,1
89,0
90,4
91,0
92,2
93,0
94,2
95,0
96,0
97,0
98,1
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,1
107,0
108,2
109,0
110,1
111,0
112,0
113,0
114,1
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,2
123,0
124,0
125,0
126,1
127,0
128,0
129,0
130,2
131,0
132,0
133,0
134,1
135,0
136,2
137,0
138,2
139,0
140,1
141,0
142,0
143,0
144,0
145,0
146,1
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,1
155,0
156,0
157,0
158,2
159,0
160,1
161,0
162,5
163,0
164,0
165,0
166,1
167,0
168,0
169,0
170,0
171,0
172,1
173,0
174,1
175,0
176,0
177,0
178,1
179,0
180,0
181,0
182,2
183,0
184,1
185,0
186,2
187,0
188,3
189,0
190,1
191,0
192,0
193,0
194,1
195,0
196,0
197,0
198,1
199,0
200,3
201,0
202,2
203,0
204,2
205,0
206,0
207,0
208,0
209,0
210,1
211,0
212,0
213,0
214,1
215,0
216,0
217,0
218,1
219,0
220,2
221,0
222,2
223,0
224,0
225,0
226,1
227,0
228,0
229,0
230,1
231,0
232,1
233,0
234,0
235,0
236,1
237,0
238,0
239,0
240,0
241,0
242,1
243,0
244,0
245,0
246,2
247,0
248,1
249,0
250,4
251,0
252,2
253,0
254,2
255,0
256,0
257,0
258,1
259,0
260,0
261,0
262,0
263,0
264,1
265,0
266,1
267,0
268,1
269,0
270,1
271,0
272,0
273,0
274,3
275,0
276,0
277,0
278,1
279,0
280,1
281,0
282,1
283,0
284,1
285,0
286,2
287,0
288,0
289,0
290,1
291,0
292,0
293,0
294,2
295,0
296,1
297,0
298,1
299,0
300,1
301,0
302,0
303,0
304,0
305,0
306,1
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,2
315,0
316,0
317,0
318,3
319,0
320,0
321,0
322,3
323,0
324,0
325,0
326,0
327,0
328,1
329,0
330,2
331,0
332,0
333,0
334,1
335,0
336,0
337,0
338,1
339,0
340,1
341,0
342,1
343,0
344,1
345,0
346,1
347,0
348,0
349,0
350,2
351,0
352,0
353,0
354,1
355,0
356,0
357,0
358,0
359,0
360,1
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,1
371,0
372,0
373,0
374,3
375,0
376,1
377,0
378,2
379,0
380,0
381,0
382,3
383,0
384,0
385,0
386,1
387,0
388,0
389,0
390,1
391,0
392,1
393,0
394,0
395,0
396,1
397,0
398,0
399,0
400,2
401,0
402,0
403,0
404,0
405,0
406,1
407,0
408,0
409,0
410,3
411,0
412,0
413,0
414,1
415,0
416,0
417,0
418,2
419,0
420,0
421,0
422,1
423,0
424,1
425,0
426,1
427,0
428,2
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,1
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,2
447,0
448,0
449,0
450,4
451,0
452,0
453,0
454,2
455,0
456,1
457,0
458,2
459,0
460,1
461,0
462,0
463,0
464,0
465,0
466,2
467,0
468,0
469,0
470,3
471,0
472,1
473,0
474,1
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,3
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,2
491,0
492,0
493,0
494,0
495,0
496,2
497,0
498,0
499,0
500,0
501,0
502,2
503,0
504,0
505,0
506,4
507,0
508,0
509,0
510,2
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,2
519,0
520,2
521,0
522,3
523,0
524,0
525,0
526,1
527,0
528,0
529,0
530,1
531,0
