bucket,length
0,0
1,0
2,4
3,0
4,0
5,0
6,2
7,1
8,2
9,1
10,0
11,0
12,1
13,1
14,1
15,1
16,0
17,0
18,0
19,1
20,0
21,0
22,1
23,1
24,2
25,0
26,0
27,0
28,0
29,0
30,2
31,2
32,0
33,1
34,2
35,0
36,3
37,0
38,0
39,0
40,1
41,0
42,0
43,0
44,1
45,0
46,0
47,3
48,1
49,1
50,1
51,0
52,1
53,0
54,0
55,1
56,1
57,0
58,1
59,0
60,0
61,1
62,0
63,0
64,1
65,1
66,0
67,0
68,4
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,1
78,0
79,1
80,1
81,0
82,1
83,0
84,1
85,0
86,0
87,0
88,1
89,1
90,1
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,1
99,0
100,0
101,4
102,2
103,1
104,1
105,0
106,1
107,0
108,0
109,2
110,3
111,0
112,1
113,1
114,0
115,0
116,1
117,0
118,4
119,0
120,0
121,0
122,2
123,0
124,3
125,0
126,0
127,0
128,1
129,0
130,1
131,1
132,2
133,2
134,1
135,1
136,2
137,1
138,0
139,2
140,0
141,0
142,0
143,0
144,0
145,0
146,2
147,1
148,2
149,1
150,4
151,1
152,0
153,3
154,3
155,1
156,0
157,0
158,0
159,1
160,1
161,0
162,2
163,0
164,0
165,1
166,1
167,0
168,2
169,0
170,0
171,1
172,0
173,0
174,1
175,2
176,2
177,1
178,0
179,5
180,3
181,0
182,1
183,0
184,0
185,0
186,1
187,2
188,2
189,0
190,1
191,0
192,0
193,1
194,0
195,0
196,1
197,0
198,0
199,1
200,1
201,0
202,1
203,1
204,0
205,2
206,1
207,2
208,1
209,0
210,1
211,0
212,0
213,0
214,3
215,0
216,2
217,0
218,0
219,1
220,0
221,0
222,0
223,0
224,0
225,1
226,0
227,2
228,0
229,1
230,2
231,0
232,2
233,0
234,0
235,1
236,1
237,1
238,1
239,0
240,0
241,1
242,1
243,1
244,1
245,1
246,0
247,0
248,0
249,0
250,0
251,1
252,0
253,0
254,0
255,1
256,0
257,0
258,1
259,0
260,0
261,0
262,1
263,1
264,2
265,0
266,0
267,0
268,2
269,2
270,0
271,3
272,0
273,1
274,3
275,0
276,0
277,1
278,0
279,0
280,1
281,0
282,0
283,1
284,1
285,3
286,0
287,0
288,0
289,2
290,0
291,2
292,0
293,0
294,0
295,1
296,0
297,2
298,0
299,0
300,0
301,2
302,1
303,1
304,0
305,1
306,0
307,1
308,0
309,0
310,0
311,3
312,1
313,3
314,1
315,0
316,0
317,2
318,2
319,0
320,0
321,0
322,1
323,0
324,0
325,0
326,2
327,1
328,0
329,0
330,1
331,0
332,0
333,1
334,2
335,1
336,2
337,0
338,0
339,3
340,0
341,4
342,0
343,0
344,5
345,1
346,2
347,1
348,0
349,1
350,0
351,0
352,1
353,0
354,0
355,1
356,1
357,0
358,0
359,0
360,1
361,0
362,2
363,0
364,0
365,0
366,0
367,0
368,2
369,0
370,2
371,1
372,1
373,0
374,1
375,1
376,1
377,0
378,4
379,0
380,2
381,1
382,1
383,0
384,2
385,5
386,0
387,1
388,2
389,1
390,0
391,1
392,1
393,0
394,1
395,0
396,0
397,0
398,0
399,0
400,0
401,2
402,4
403,0
404,2
405,1
406,0
407,0
408,1
409,0
410,3
411,0
412,0
413,1
414,0
415,1
416,0
417,1
418,0
419,0
420,2
421,1
422,1
423,0
424,0
425,0
426,1
427,0
428,0
429,0
430,0
431,1
432,0
433,0
434,1
435,1
436,2
437,0
438,1
439,2
440,1
441,3
442,1
443,0
444,0
445,3
446,0
447,1
448,2
449,0
450,1
451,1
452,2
453,0
454,0
455,0
456,2
457,1
458,0
459,1
460,0
461,1
462,4
463,1
464,2
465,3
466,1
467,0
468,0
469,0
470,1
471,2
472,0
473,2
474,1
475,1
476,0
477,1
478,0
479,0
480,0
481,0
482,1
483,0
484,3
485,0
486,0
487,0
488,0
489,0
490,0
491,1
492,0
493,0
494,1
495,1
496,0
497,0
498,0
499,0
500,0
501,1
502,0
503,0
504,1
505,0
506,0
507,0
508,0
509,0
510,2
511,0
512,0
513,1
514,0
515,1
516,0
517,3
518,1
519,0
520,1
521,1
522,1
523,0
524,2
525,0
526,0
527,1
528,2
529,0
530,0
531,0
